Statistical assistants,Correspondence clerks,"Door-to-door sales workers, news and street vendors, and related workers"
5930,5220,4965
"Office and administrative support workers, all other","Court, municipal, and license clerks","Sales and related workers, all other"
6000,5230,5000
"First-line supervisors/managers of farming, fishing, and forestry workers","Credit authorizers, checkers, and clerks",First-Line supervisors of office and administrative support workers
6010,5240,5010
Agricultural inspectors,Customer service representatives,"Switchboard operators, including answering service"
6020,5250,5020
Animal breeders,"Eligibility interviewers, government programs",Telephone operators
6030,5260,5040
Not used,File clerks,"Communications equipment operators, all other"
6040,5300,5100
"Graders and sorters, agricultural products","Hotel, motel, and resort desk clerks",Bill and account collectors
6050,5310,5110
Miscellaneous agricultural workers,"Interviewers, except eligibility and loan",Billing and posting clerks
6100,5320,5120
Fishers and related fishing workers,"Library assistants, clerical","Bookkeeping, accounting, and auditing clerks"
6110,5330,5140
Hunters and trappers,Loan interviewers and clerks,Payroll and timekeeping clerks
6120,5340,5150
Forest and conservation workers,New accounts clerks,Procurement clerks
6130,5350,5160
Logging workers,Order clerks,Tellers
6200,5360,5165
First-line supervisors/managers of construction trades and extraction workers,"Human resources assistants, except payroll and timekeeping","Financial clerks, all other"
6210,5400,5220
Boilermakers,Receptionists and information clerks,"Court, municipal, and license clerks"
6220,5410,5230
"Brickmasons, blockmasons, and stonemasons",Reservation and transportation ticket agents and travel clerks,"Credit authorizers, checkers, and clerks"
6230,5420,5240
Carpenters,"Information and record clerks, all other",Customer service representatives
6240,5500,5250
"Carpet, floor, and tile installers and finishers",Cargo and freight agents,"Eligibility interviewers, government programs"
6250,5510,5260
"Cement masons, concrete finishers, and terrazzo workers",Couriers and messengers,File clerks
6260,5520,5300
Construction laborers,Dispatchers,"Hotel, motel, and resort desk clerks"
6300,5530,5310
"Paving, surfacing, and tamping equipment operators","Meter readers, utilities","Interviewers, except eligibility and loan"
6310,5540,5320
Pile-driver operators,Postal service clerks,"Library assistants, clerical"
6320,5550,5330
